Sample,Raw,Clean,Dup%,Bases_on_target,Bases_near_target,Effective_sequences_on_target(Mb),Effective_sequences_near_target(Mb),Effective_sequences_on_or_near_targe(Mb),Fraction_of_effective_bases_on_target,Fraction_of_effective_bases_near_target,Fraction_of_effective_bases_on_or_near_target,Average_sequencing_depth_on_target,Average_sequencing_depth_near_target,Bases_covered_on_target,Coverage_of_target_region,Bases_covered_near_target,Coverage_of_flanking_region,Fraction_of_target_covered_with_at_least_4x,Fraction_of_target_covered_with_at_least_10x,Fraction_of_target_covered_with_at_least_30x,Fraction_of_target_covered_with_at_least_100x,Fraction_of_flanking_region_covered_with_at_least_4x,Fraction_of_flanking_region_covered_with_at_least_10x,Fraction_of_flanking_region_covered_with_at_least_30x,Fraction_of_flanking_region_covered_with_at_least_100x
CRC100_N1,36.846624,34.06071313,46.1651,"65,755,218","83,216,925",12672.43,3249.82,15922.25,69.74%,17.88%,87.62%,192.72,39.05,"65,676,311",99.88%,"76,434,745",91.85%,99.75%,99.52%,97.91%,71.21%,73.58%,57.28%,35.49%,9.11%
CRC100_T1,42.2745873,38.81403805,47.3371,"65,755,218","83,216,925",14102.01,3651.21,17753.22,69.70%,18.05%,87.75%,214.46,43.88,"65,676,311",99.88%,"78,132,370",93.89%,99.76%,99.57%,98.42%,77.68%,76.93%,60.12%,38.28%,10.90%
CRC101_N1,44.5412943,42.48715446,47.2273,"65,755,218","83,216,925",15273.8,4360.41,19634.21,69.15%,19.74%,88.89%,232.28,52.4,"65,564,527",99.71%,"80,753,704",97.04%,99.55%,99.37%,98.61%,83.01%,85.37%,68.71%,45.05%,13.97%
CRC101_T1,49.8474075,48.19723078,49.7838,"65,755,218","83,216,925",15637.28,5287,20924.28,65.31%,22.08%,87.39%,237.81,63.53,"65,590,829",99.75%,"82,509,581",99.15%,99.58%,99.42%,98.73%,84.12%,95.12%,82.25%,54.47%,17.38%
CRC102_N1,44.6397174,42.44950823,50.2902,"65,755,218","83,216,925",14203.34,4107.01,18310.35,68.13%,19.70%,87.83%,216,49.35,"65,669,736",99.87%,"80,995,033",97.33%,99.75%,99.57%,98.37%,76.69%,85.56%,68.18%,43.20%,12.47%
CRC102_T1,44.1708336,40.3792979,47.9132,"65,755,218","83,216,925",14380.7,3763.19,18143.89,69.34%,18.15%,87.49%,218.7,45.22,"65,676,311",99.88%,"79,988,108",96.12%,99.76%,99.56%,98.23%,75.14%,81.03%,62.46%,38.70%,11.29%
CRC103_N1,41.6287626,38.41955169,56.8116,"65,755,218","83,216,925",9895.3,2592.34,12487.64,59.55%,15.60%,75.15%,150.49,31.15,"65,676,311",99.88%,"77,749,573",93.43%,99.73%,99.44%,96.35%,53.07%,74.50%,54.48%,29.64%,5.52%
CRC103_T1,44.5688391,40.5385825,56.9992,"65,755,218","83,216,925",10381.58,2592.24,12973.82,59.77%,14.93%,74.70%,157.88,31.15,"65,669,736",99.87%,"76,501,319",91.93%,99.71%,99.38%,96.04%,54.80%,72.05%,52.38%,28.89%,6.00%
CRC104_N1,49.0890975,44.78110786,57.6205,"65,755,218","83,216,925",11242.54,2837.76,14080.3,59.47%,15.01%,74.48%,170.98,34.1,"65,656,585",99.85%,"77,807,824",93.50%,99.72%,99.47%,97.32%,62.05%,74.89%,55.03%,31.68%,6.80%
CRC104_T1,48.6712902,43.8018415,57.3276,"65,755,218","83,216,925",11261.71,2780,14041.71,60.69%,14.98%,75.67%,171.27,33.41,"65,663,160",99.86%,"77,233,628",92.81%,99.71%,99.47%,97.13%,61.48%,73.90%,54.16%,30.89%,6.99%
